,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,78.89,68,6,13.62,PF,1650324679
1,Cape Town,-33.9258,18.4232,59.92,88,0,13.0,ZA,1650324593
2,Vao,-22.6667,167.4833,75.99,75,50,5.44,NC,1650324866
3,Rawson,-43.3002,-65.1023,61.23,67,5,5.17,AR,1650324866
4,Mareeba,-17.0,145.4333,77.67,77,100,4.88,AU,1650324867
5,Ushuaia,-54.8,-68.3,47.86,61,75,13.8,AR,1650324867
6,Kapaa,22.0752,-159.319,80.58,72,40,17.27,US,1650324868
7,Marietta,33.9526,-84.5499,59.32,64,20,19.57,US,1650324868
8,Makkah al Mukarramah,21.4267,39.8261,83.52,25,15,2.91,SA,1650324735
9,Kaitangata,-46.2817,169.8464,64.02,50,94,2.51,NZ,1650324869
10,Puerto Varas,-41.3195,-72.9854,50.22,100,75,3.44,CL,1650324869
11,Bundaberg,-24.85,152.35,77.22,75,75,10.36,AU,1650324870
12,Yellowknife,62.456,-114.3525,27.12,33,75,10.36,CA,1650324871
13,Wewak,-3.5534,143.6268,83.23,74,98,1.95,PG,1650324871
14,Punta Arenas,-53.15,-70.9167,48.31,76,75,13.8,CL,1650324739
15,Tuktoyaktuk,69.4541,-133.0374,15.8,62,0,9.22,CA,1650324872
16,Chokurdakh,70.6333,147.9167,12.69,90,47,4.72,RU,1650324872
17,Albany,42.6001,-73.9662,51.17,41,100,10.0,US,1650324873
18,Buraidah,26.326,43.975,72.05,10,28,6.35,SA,1650324716
19,Carnarvon,-24.8667,113.6333,64.47,72,25,8.05,AU,1650324873
20,Fortuna,40.5982,-124.1573,49.93,94,100,11.5,US,1650324874
21,Kununurra,-15.7667,128.7333,82.38,83,40,4.61,AU,1650324874
22,Naryan-Mar,67.6713,53.087,30.0,97,100,14.16,RU,1650324875
23,Lorengau,-2.0226,147.2712,85.46,68,100,9.17,PG,1650324875
24,Al Bardīyah,31.7561,25.0865,60.35,70,38,8.81,LY,1650324876
25,Puerto Ayora,-0.7393,-90.3518,75.74,87,100,6.73,EC,1650324877
26,Kuala Terengganu,5.3302,103.1408,78.75,94,20,2.3,MY,1650324878
27,Malbork,54.0359,19.0266,40.12,92,89,6.64,PL,1650324878
28,Vaini,-21.2,-175.2,80.76,89,75,10.36,TO,1650324879
29,Haines Junction,60.7522,-137.5108,35.55,27,98,6.91,CA,1650324879
30,Hermanus,-34.4187,19.2345,61.81,88,8,11.3,ZA,1650324880
31,Jamestown,42.097,-79.2353,34.72,77,100,11.01,US,1650324617
32,Saint George,37.1041,-113.5841,87.64,6,0,8.05,US,1650324661
33,Souillac,-20.5167,57.5167,77.38,94,40,8.05,MU,1650324881
34,Xingtai,37.0631,114.4942,62.87,36,0,6.11,CN,1650324882
35,Bluff,-46.6,168.3333,58.8,76,100,4.72,NZ,1650324883
36,Busselton,-33.65,115.3333,62.58,83,97,5.66,AU,1650324883
37,Dikson,73.5069,80.5464,2.37,95,100,14.45,RU,1650324884
38,La Rioja,42.25,-2.5,46.18,89,77,3.76,ES,1650324885
39,Cherskiy,68.75,161.3,25.81,86,100,8.57,RU,1650324886
40,Cockburn Town,21.4612,-71.1419,78.76,78,40,16.11,TC,1650324886
41,Thana,34.6369,72.0739,69.64,47,100,5.3,PK,1650324887
42,Makakilo City,21.3469,-158.0858,82.72,46,0,13.8,US,1650324651
43,Mossamedes,-15.1961,12.1522,74.16,78,81,3.85,AO,1650324888
44,Atuona,-9.8,-139.0333,79.79,73,37,17.34,PF,1650324889
45,Pohrebyshche,49.4864,29.2636,33.6,70,100,6.2,UA,1650324889
46,Nara,34.6851,135.8049,60.49,36,64,4.07,JP,1650324783
47,Uruçuí,-7.2294,-44.5561,76.1,92,75,2.62,BR,1650324890
48,Provideniya,64.3833,-173.3,33.91,80,100,13.42,RU,1650324891
49,Tiksi,71.6872,128.8694,6.35,98,100,2.84,RU,1650324891
50,Snezhnogorsk,69.1933,33.2531,33.58,94,100,8.05,RU,1650324892
51,Port Elizabeth,-33.918,25.5701,56.32,95,0,3.44,ZA,1650324892
52,Port Alfred,-33.5906,26.891,60.19,97,50,3.69,ZA,1650324893
53,Nanortalik,60.1432,-45.2371,32.22,94,100,10.76,GL,1650324893
54,Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,37.56,75,18,18.57,RU,1650324894
55,Butaritari,3.0707,172.7902,81.88,75,15,12.59,KI,1650324894
56,Yerbogachën,61.2767,108.0108,16.02,85,100,12.64,RU,1650324894
57,Nouakchott,18.0858,-15.9785,66.13,76,21,18.23,MR,1650324895
58,Mumbai,19.0144,72.8479,82.38,83,20,3.44,IN,1650324763
59,Leningradskiy,69.3833,178.4167,28.38,80,100,5.14,RU,1650324896
60,Bambous Virieux,-20.3428,57.7575,78.22,94,40,8.05,MU,1650324896
61,Phonhong,18.5007,102.4166,72.93,86,96,2.91,LA,1650324897
62,Opuwo,-18.0607,13.84,73.15,58,93,6.73,NA,1650324897
63,Portland,45.5234,-122.6762,52.05,90,100,10.36,US,1650324603
64,Cururupu,-1.8283,-44.8683,75.0,93,72,2.08,BR,1650324898
65,Sur,22.5667,59.5289,81.59,61,0,7.14,OM,1650324898
66,Mahébourg,-20.4081,57.7,78.26,94,40,8.05,MU,1650324899
67,Hithadhoo,-0.6,73.0833,83.05,73,91,4.43,MV,1650324899
68,Babati,-4.2167,35.75,60.28,95,89,2.95,TZ,1650324900
69,Norsup,-16.0667,167.3833,84.78,72,75,8.16,VU,1650324900
70,São João da Barra,-21.6403,-41.0511,69.24,84,7,8.46,BR,1650324901
71,New Norfolk,-42.7826,147.0587,60.71,69,100,1.77,AU,1650324901
72,Laas,46.6166,10.7002,47.28,90,15,5.41,IT,1650324902
73,Lázaro Cárdenas,17.9583,-102.2,80.74,62,75,6.24,MX,1650324745
74,Itarema,-2.9248,-39.9167,76.21,91,99,7.11,BR,1650324902
75,Geraldton,-28.7667,114.6,59.41,55,0,3.44,AU,1650324903
76,Stryn,61.9045,6.7226,43.52,69,13,5.88,NO,1650324903
77,Cotonou,6.3654,2.4183,78.78,89,20,3.44,BJ,1650324904
78,Cabo San Lucas,22.8909,-109.9124,88.61,32,20,11.5,MX,1650324659
79,Shepetivka,50.1855,27.0637,30.88,88,7,2.91,UA,1650324904
80,George Town,5.4112,100.3354,80.53,93,20,4.61,MY,1650324669
81,Kavaratti,10.5669,72.642,83.75,74,45,8.48,IN,1650324905
82,Richards Bay,-28.783,32.0377,65.84,86,99,6.64,ZA,1650324906
83,Leh,34.1667,77.5833,35.87,48,0,3.2,IN,1650324906
84,Kokkola,63.8385,23.1307,34.93,94,0,3.44,FI,1650324907
85,Juneau,58.3019,-134.4197,44.98,39,75,19.57,US,1650324907
86,Qaanaaq,77.484,-69.3632,-10.7,82,44,1.79,GL,1650324908
87,Ust'-Kut,56.7938,105.7672,29.59,76,100,10.02,RU,1650324908
88,Aklavik,68.2191,-135.0107,30.2,34,0,13.8,CA,1650324909
89,Sinnamary,5.3833,-52.95,76.87,90,98,9.82,GF,1650324909
90,Hobart,-42.8794,147.3294,61.05,74,75,5.75,AU,1650324776
91,Klaksvík,62.2266,-6.589,45.52,92,70,29.33,FO,1650324910
92,Belle Fourche,44.6714,-103.8522,54.5,21,69,13.13,US,1650324910
93,Takoradze,4.8845,-1.7554,78.26,84,100,4.36,GH,1650324911
94,Arraial do Cabo,-22.9661,-42.0278,72.59,75,11,7.65,BR,1650324911
95,Avarua,-21.2078,-159.775,82.45,65,81,4.61,CK,1650324912
96,Constitución,-35.3333,-72.4167,55.09,93,84,8.68,CL,1650324912
97,Iqaluit,63.7506,-68.5145,1.13,78,100,5.75,CA,1650324913
98,Banmankhi,25.8833,87.1833,77.18,70,0,13.8,IN,1650324914
